,City,Lat,Lng,Max Temp,Humidity,Cloudiness,Wind Speed,Country,Date
0,Hermanus,-34.4187,19.2345,54.81,86,1,6.29,ZA,1661145301
1,Chumikan,54.7183,135.315,57.47,73,100,15.12,RU,1661111179
2,Begūn,24.9833,75.0,73.53,94,81,7.4,IN,1661128616
3,Avarua,-21.2078,-159.775,75.25,88,100,14.97,CK,1661101057
4,Nadym,65.5333,72.5167,49.75,84,100,2.8,RU,1661123626
5,Esperance,-33.8667,121.9,52.75,65,100,23.0,AU,1661120643
6,Hobart,-42.8794,147.3294,51.66,89,75,8.05,AU,1661115269
7,Taoudenni,22.6783,-3.9836,101.88,16,68,5.73,ML,1661061300
8,Mahibadhoo,3.7833,72.9667,81.88,76,52,14.38,MV,1661130284
9,Bluff,-46.6,168.3333,48.79,60,53,12.12,NZ,1661110597
10,Tiksi,71.6872,128.8694,40.62,92,100,16.55,RU,1661106890
11,Saldanha,-33.0117,17.9442,44.65,86,0,12.12,ZA,1661145512
12,Rikitea,-23.1203,-134.9692,70.79,70,99,17.83,PF,1661095218
13,Arraial do Cabo,-22.9661,-42.0278,66.06,68,0,3.44,BR,1661072916
14,Lüderitz,-26.6481,15.1594,59.9,54,0,8.86,NA,1661145767
15,Yaransk,57.3033,47.8861,58.93,72,16,5.17,RU,1661131720
16,Maningrida,-12.0667,134.2667,71.15,69,10,11.36,AU,1661116382
17,Provideniya,64.3833,-173.3,46.51,87,0,8.95,RU,1661183142
18,Alekseyevskaya,50.2896,42.1845,69.82,34,98,8.86,RU,1661134227
19,Punta Arenas,-53.15,-70.9167,42.91,81,0,5.75,CL,1661082444
20,Butaritari,3.0707,172.7902,81.14,78,11,13.78,KI,1661106365
21,Port Alfred,-33.5906,26.891,54.97,72,0,3.38,ZA,1661143407
22,Bethel,41.3712,-73.414,81.05,66,75,1.01,US,1661076538
23,Mamlyutka,54.9375,68.5394,52.61,62,89,4.41,KZ,1661127189
24,Pundaguitan,6.3711,126.1689,82.92,75,100,10.96,PH,1661117383
25,Letnyaya Stavka,45.4306,43.4472,71.1,43,17,19.15,RU,1661134516
26,Fortuna,40.5982,-124.1573,71.92,78,20,12.66,US,1661088799
27,Yangambi,0.8102,24.4336,72.48,86,89,0.6,CD,1661142080
28,Emerald,-23.5333,148.1667,58.33,72,40,4.61,AU,1661113679
29,Thyolo,-16.0678,35.1405,57.31,84,36,9.06,MW,1661140374
30,Nikolskoye,59.7035,30.7861,66.79,59,62,4.76,RU,1661135325
31,Strezhevoy,60.7333,77.5889,40.48,90,30,5.57,RU,1661123830
32,Cape Town,-33.9258,18.4232,53.11,84,0,2.3,ZA,1661145461
33,‘Ewa Beach,21.3156,-158.0072,87.75,49,20,17.27,US,1661098358
34,Torbay,47.6666,-52.7314,61.75,85,100,5.75,CA,1661070882
35,São João da Barra,-21.6403,-41.0511,66.6,70,98,11.3,BR,1661072604
36,Puerto Ayora,-0.7393,-90.3518,71.56,95,82,5.01,EC,1661083317
37,Upata,8.0086,-62.3989,72.19,99,98,3.94,VE,1661076156
38,Bredasdorp,-34.5322,20.0403,47.62,94,0,5.26,ZA,1661145116
39,Tasiilaq,65.6145,-37.6368,37.74,93,100,5.12,GL,1661063495
40,Viseu,40.661,-7.9097,62.85,91,38,1.12,PT,1661060874
41,Castro,-24.7911,-50.0119,49.8,95,71,4.9,BR,1661074940
42,Mataura,-46.1927,168.8643,48.47,83,98,1.88,NZ,1661110427
43,Barrow,71.2906,-156.7887,35.62,80,100,13.8,US,1661089271
44,Yerofey Pavlovich,53.9667,121.9667,51.21,89,8,2.86,RU,1661114512
45,Westport,41.1415,-73.3579,80.94,68,0,6.91,US,1661076547
